Date,Move Actual,Move Goal,Exercise Actual,Exercise Goal,Stand Actual,Stand Goal
2022-09-24,75.67,400.00,0.00,30.00,1,12
2022-09-25,411.36,400.00,50.00,30.00,12,12
2022-09-26,365.23,400.00,36.00,30.00,14,12
2022-09-27,158.51,400.00,15.00,30.00,7,12
2022-09-28,0.09,400.00,0.00,30.00,0,12
2022-09-29,288.50,400.00,23.00,30.00,12,12
2022-09-30,147.87,400.00,14.00,30.00,6,12
2022-10-01,375.68,400.00,57.00,30.00,5,12
2022-10-02,230.00,400.00,31.00,30.00,6,12
2022-10-03,250.78,400.00,28.00,30.00,9,12
2022-10-04,85.07,400.00,14.00,30.00,2,12
2022-10-05,209.69,400.00,35.00,30.00,5,12
2022-10-06,241.01,400.00,41.00,30.00,6,12
2022-10-07,210.68,400.00,13.00,30.00,9,12
2022-10-08,329.65,400.00,27.00,30.00,9,12
2022-10-09,336.79,400.00,41.00,30.00,12,12
2022-10-10,232.71,400.00,12.00,30.00,11,12
2022-10-11,349.27,400.00,19.00,30.00,15,12
2022-10-12,132.13,400.00,0.00,30.00,4,12
2022-10-13,336.54,400.00,10.00,30.00,11,12
2022-10-14,220.93,400.00,9.00,30.00,6,12
2022-10-15,299.47,400.00,14.00,30.00,12,12
2022-10-16,135.16,400.00,19.00,30.00,7,12
2022-10-17,63.58,400.00,15.00,30.00,4,12
2022-10-18,26.95,400.00,5.00,30.00,2,12
2022-10-20,0.00,400.00,0.00,30.00,0,12
2022-10-21,241.25,400.00,67.00,30.00,3,12
2022-10-22,0.00,400.00,0.00,30.00,0,12
2022-10-23,67.58,400.00,9.00,30.00,2,12
2022-10-25,0.00,400.00,0.00,30.00,0,12
2022-10-26,141.07,400.00,12.00,30.00,3,12
2022-10-31,0.00,400.00,0.00,30.00,0,12
2022-11-01,0.74,400.00,0.00,30.00,0,12
2022-11-02,329.82,400.00,23.00,30.00,12,12
2022-11-03,0.12,400.00,0.00,30.00,0,12
2022-11-07,0.00,400.00,0.00,30.00,0,12
2022-11-08,258.30,400.00,11.00,30.00,9,12
2022-11-09,338.20,400.00,21.00,30.00,10,12
2022-11-12,0.00,400.00,0.00,30.00,0,12
2022-11-13,251.94,400.00,16.00,30.00,11,12
2022-11-15,2.51,400.00,1.00,30.00,0,12
2022-11-16,14.79,400.00,3.00,30.00,1,12
2022-11-21,0.00,400.00,0.00,30.00,0,12
2022-11-22,0.28,400.00,0.00,30.00,0,12
2022-11-23,305.00,400.00,14.00,30.00,14,12
2022-11-24,176.92,400.00,5.00,30.00,9,12
2022-12-08,0.00,400.00,0.00,30.00,0,12
2022-12-09,0.00,400.00,0.00,30.00,0,12
2022-12-11,2.44,400.00,1.00,30.00,0,12
2022-12-12,320.29,400.00,18.00,30.00,12,12
2022-12-13,108.15,400.00,10.00,30.00,4,12
2022-12-14,366.63,400.00,27.00,30.00,12,12
2022-12-15,35.75,400.00,2.00,30.00,2,12
2022-12-16,0.61,400.00,0.00,30.00,0,12
2022-12-17,1.19,400.00,0.00,30.00,0,12
2022-12-19,0.00,400.00,0.00,30.00,0,12
2022-12-20,105.03,400.00,3.00,30.00,4,12
2022-12-25,0.00,400.00,0.00,30.00,0,12
2022-12-26,135.05,400.00,3.00,30.00,7,12
2022-12-27,175.39,400.00,4.00,30.00,8,12
2022-12-28,0.12,400.00,0.00,30.00,0,12
2022-12-29,96.73,400.00,3.00,30.00,6,12
2022-12-30,180.36,400.00,3.00,30.00,13,12
