UUID,Start Date,End Date,Type,Name,Duration,Distance,Elevation Ascended,Flights Climbed,Swim Strokes,Total Energy
0e6752b6-03a3-4bc2-b771-fb9b3b3fa348,2021-02-13T08:53:34Z,2021-02-13T09:29:16Z,52,Walking,2142.000,2304.39,0,0,0,0.10
31f77397-7f7a-464f-95eb-471e1e7fe28b,2021-02-14T07:31:12Z,2021-02-14T08:39:18Z,52,Walking,4086.000,3242.56,0,0,0,0.14
0c637f9c-7676-46e9-9fb3-cad12d45fe8e,2021-02-14T12:15:29Z,2021-02-14T12:36:23Z,52,Walking,1254.000,1514.20,0,0,0,0.06
5489d73b-2129-4dac-b36d-e1e091500e09,2021-02-14T14:42:03Z,2021-02-14T14:45:07Z,50,Traditional Strength Training,184.257,0.00,0,0,0,13.00
ec524d27-a459-46c5-bb87-ea2b1c1f050b,2021-02-14T14:46:43Z,2021-02-14T14:50:10Z,50,Traditional Strength Training,207.232,0.00,0,0,0,13.00
45ce5576-1f22-4a2c-a0fd-98d9185a4461,2021-02-14T14:55:37Z,2021-02-14T15:14:33Z,50,Traditional Strength Training,1135.729,0.00,0,0,0,183.00
f9dbb6e2-06bd-4548-866d-14b5ff468ee2,2021-02-15T10:13:16Z,2021-02-15T12:26:22Z,52,Walking,7986.000,8986.66,0,0,0,0.36
b49148ee-f1b2-4b08-af60-9214a5657c59,2021-02-15T14:34:20Z,2021-02-15T14:40:59Z,50,Traditional Strength Training,398.831,0.00,0,0,0,28.00
bae13c8d-5652-4509-b1d5-79606a58c598,2021-02-15T14:41:17Z,2021-02-15T14:49:50Z,50,Traditional Strength Training,513.069,0.00,0,0,0,37.00
146a1804-319c-4209-9e84-713038dfef42,2021-02-15T14:51:08Z,2021-02-15T15:05:05Z,50,Traditional Strength Training,836.329,0.00,0,0,0,155.00
ac86f200-217f-472b-9366-14f648de413d,2021-02-16T14:46:08Z,2021-02-16T14:54:41Z,50,Traditional Strength Training,513.459,0.00,0,0,0,37.00
b7d00de1-2912-4ce5-8cb3-ef7ada2ca0f5,2021-02-16T14:55:26Z,2021-02-16T15:02:12Z,50,Traditional Strength Training,405.929,0.00,0,0,0,28.00
b0f85d39-0004-4523-98ce-6f9685c69eba,2021-02-16T15:07:36Z,2021-02-16T15:21:33Z,50,Traditional Strength Training,836.378,0.00,0,0,0,154.00
dadb2b7e-cfd1-4b56-9f67-f2fffc496140,2021-02-17T07:43:09Z,2021-02-17T11:10:38Z,52,Walking,12449.000,13273.78,0,0,0,0.46
59d703dd-148e-418b-b760-2044d038a6e7,2021-02-17T15:10:30Z,2021-02-17T15:22:44Z,50,Traditional Strength Training,733.098,0.00,0,0,0,135.00
0f688231-9ac1-41ba-81d0-22a1f58fb61a,2021-02-18T14:07:43Z,2021-02-18T14:18:07Z,50,Traditional Strength Training,623.587,0.00,0,0,0,43.00
209f0c60-9dba-4797-bb22-a71c9959bcd4,2021-02-18T14:26:39Z,2021-02-18T14:56:38Z,50,Traditional Strength Training,1799.323,0.00,0,0,0,199.00
f787b9d1-b1cb-4e7f-a53e-4dbab55a23e3,2021-02-19T13:05:17Z,2021-02-19T13:15:53Z,50,Traditional Strength Training,636.208,0.00,0,0,0,65.00
f3201542-502a-4fd6-b577-293cfee12ef3,2021-02-19T13:17:14Z,2021-02-19T13:37:35Z,50,Traditional Strength Training,1220.839,0.00,0,0,0,169.00
2e3b95aa-983e-4d26-b7fd-28d2c460b225,2021-02-20T15:21:53Z,2021-02-20T15:32:23Z,50,Traditional Strength Training,629.961,0.00,0,0,0,60.00
ae4dba44-ad9b-4702-866b-3fb19f189254,2021-02-20T15:33:58Z,2021-02-20T15:44:49Z,50,Traditional Strength Training,650.233,0.00,0,0,0,80.00
0d6a597d-f625-43e9-9717-4fef520d73a5,2021-02-21T13:12:08Z,2021-02-21T13:16:05Z,50,Traditional Strength Training,237.062,0.00,0,0,0,27.00
43d5a1d3-7703-4a6b-a14f-6d2f59c81070,2021-02-21T13:17:35Z,2021-02-21T13:28:10Z,50,Traditional Strength Training,634.517,0.00,0,0,0,86.00
