Date,Distance Walking/Running,Steps,Distance Swimming,Strokes,Distance Cycling,Distance Wheelchair,Distance Downhill Snowsports
2024-12-31,5264.38,9525.00,0.00,0.00,0.00,0.00,0.00
2025-01-01,6197.29,8466.87,0.00,0.00,0.00,0.00,0.00
2025-01-02,6489.33,9427.00,0.00,0.00,0.00,0.00,0.00
2025-01-03,5132.87,4747.00,0.00,0.00,0.00,0.00,0.00
2025-01-04,4644.42,6303.00,0.00,0.00,0.00,0.00,0.00
2025-01-05,4939.71,6887.00,0.00,0.00,0.00,0.00,0.00
2025-01-06,6957.08,9591.00,0.00,0.00,0.00,0.00,0.00
2025-01-07,1810.10,2413.00,0.00,0.00,0.00,0.00,0.00
2025-01-08,7544.21,10776.00,0.00,0.00,0.00,0.00,0.00
2025-01-09,4343.65,6169.00,0.00,0.00,0.00,0.00,0.00
2025-01-10,3061.36,5070.00,0.00,0.00,0.00,0.00,0.00
2025-01-11,610.83,1066.00,0.00,0.00,0.00,0.00,0.00
2025-01-12,9138.73,12778.00,0.00,0.00,0.00,0.00,0.00
2025-01-13,6593.95,11941.00,0.00,0.00,0.00,0.00,0.00
2025-01-14,1225.02,1707.00,0.00,0.00,0.00,0.00,0.00
2025-01-15,6468.79,9523.00,0.00,0.00,0.00,0.00,0.00
2025-01-16,3792.58,5328.00,0.00,0.00,0.00,0.00,0.00
2025-01-17,7101.39,9754.60,0.00,0.00,0.00,0.00,0.00
2025-01-18,5200.76,8159.00,0.00,0.00,0.00,0.00,0.00
2025-01-19,7027.05,9802.83,0.00,0.00,0.00,0.00,0.00
2025-01-20,5445.94,10098.00,0.00,0.00,0.00,0.00,0.00
2025-01-21,4211.33,7892.00,0.00,0.00,0.00,0.00,0.00
2025-01-22,1920.93,2707.13,0.00,0.00,0.00,0.00,0.00
2025-01-23,5782.80,8385.00,0.00,0.00,0.00,0.00,0.00
2025-01-24,741.45,1084.00,0.00,0.00,0.00,0.00,0.00
2025-01-25,3849.45,5703.00,0.00,0.00,0.00,0.00,0.00
2025-01-26,3581.68,6299.00,0.00,0.00,0.00,0.00,0.00
2025-01-27,1220.41,2056.00,0.00,0.00,0.00,0.00,0.00
2025-01-28,3660.11,6394.00,0.00,0.00,0.00,0.00,0.00
2025-01-29,3405.63,5776.00,0.00,0.00,0.00,0.00,0.00
2025-01-30,3152.55,5385.00,0.00,0.00,0.00,0.00,0.00
2025-01-31,951.32,1399.00,0.00,0.00,0.00,0.00,0.00
2025-02-01,10836.69,20410.00,0.00,0.00,0.00,0.00,0.00
2025-02-02,2519.31,3243.69,0.00,0.00,0.00,0.00,0.00
2025-02-03,8372.36,11385.80,0.00,0.00,0.00,0.00,0.00
2025-02-04,5588.31,8007.00,0.00,0.00,0.00,0.00,0.00
2025-02-05,5693.96,8056.00,0.00,0.00,0.00,0.00,0.00
2025-02-06,2178.63,3154.00,0.00,0.00,0.00,0.00,0.00
